course number,section,name,instructor,instructor 2,is full,description
E2261,001,INTRO TO ACCOUNTING & FINANCE,Anthony C Webster,,false,"Prerequisites: (ECON UN1105)   For undergraduates only. This course is required for all undergraduate students majoring in IE, OR:EMS, OR:FE and OR. This course examines the fundamental concepts of financial accounting and finance, from the perspective of both managers and investors. Key topics covered in this course include principles of accrual accounting; recognizing and recording accounting transactions; preparation and analysis of financial statements, including balance sheets, income statements, cash flow statements, and statements of owners' equity; ratio analysis; pro-forma projections; time value of money (present values, future values and interest/discount rates); inflation; discounted-cash-flow (DCF) project evaluation methods; deterministic and probabilistic measures of risk; capital budgeting.   "
E3402,001,PRODUCTN-INVENTORY PLAN-CONTRL,Van Anh Truong,,false,"Prerequisites: (SIEO W3600) and (IEOR E3608) SIEO W3600:Introduction to Probability and Statistics and IEOR E3608: Introduction to Mathematical Programming.  For undergraduates only. This course is required for all undergraduate students majoring in IE, OR:EMS, OR:FE and OR. This class must be taken during (or before) the sixth semester. This course equips students with knowledge of fundamental issues in production and inventory planning and control in manufacturing firms while developing students' modeling and analytical skills. The course is targeted toward engineering students planning careers in technical consulting, business analysis in operations, logistics, supply-chain and revenue-management functions, positions in general management and future entrepreneurs. The course will cover inventory management and production planning; material requirements planning; aggregate planning of production, inventory, and work force; multi-echelon integrated production-inventory systems; and production scheduling. Students will have an opportunity to participate in a computer-simulation game where, as operations managers for a company, they work in teams to manage capacity, inventories, scheduling, and purchasing of parts. The recitation section is required.  "
E3402,R01,PRODUCTN-INVENTORY PLAN-CONTRL,,,true,"Prerequisites: (SIEO W3600) and (IEOR E3608) SIEO W3600:Introduction to Probability and Statistics and IEOR E3608: Introduction to Mathematical Programming.  For undergraduates only. This course is required for all undergraduate students majoring in IE, OR:EMS, OR:FE and OR. This class must be taken during (or before) the sixth semester. This course equips students with knowledge of fundamental issues in production and inventory planning and control in manufacturing firms while developing students' modeling and analytical skills. The course is targeted toward engineering students planning careers in technical consulting, business analysis in operations, logistics, supply-chain and revenue-management functions, positions in general management and future entrepreneurs. The course will cover inventory management and production planning; material requirements planning; aggregate planning of production, inventory, and work force; multi-echelon integrated production-inventory systems; and production scheduling. Students will have an opportunity to participate in a computer-simulation game where, as operations managers for a company, they work in teams to manage capacity, inventories, scheduling, and purchasing of parts. The recitation section is required.  "
E3404,001,SIMULATION,Henry Lam,,false,
E3404,R01,SIMULATION REC,,,true,
E3609,001,ADVANCED OPTIMIZATION,Shipra Agrawal,,false," For undergraduates only. This course is required for all undergraduate students majoring in IE, OR:EMS, OR:FE and OR. "
E3900,001,UNDERGRAD RESEARCH OR PROJECT,Shipra Agrawal,,false,"Prerequisites: approval by a faculty member who agrees to supervise the work.  Independent work involving experiments, computer programming, analytical investigation, or engineering design.  "
E3900,002,UNDERGRAD RESEARCH OR PROJECT,Daniel Bienstock,,false,"Prerequisites: approval by a faculty member who agrees to supervise the work.  Independent work involving experiments, computer programming, analytical investigation, or engineering design.  "
E3900,003,UNDERGRAD RESEARCH OR PROJECT,Agostino Capponi,,false,"Prerequisites: approval by a faculty member who agrees to supervise the work.  Independent work involving experiments, computer programming, analytical investigation, or engineering design.  "
E3900,004,UNDERGRAD RESEARCH OR PROJECT,Emanuel Derman,,false,"Prerequisites: approval by a faculty member who agrees to supervise the work.  Independent work involving experiments, computer programming, analytical investigation, or engineering design.  "
