course number,section,name,instructor,instructor 2,is full,description
W1004,1,INTRO-COMPUT SCI/PROG IN JAVA,Adam H Cannon,,TRUE," A general introduction to computer science for science and engineering students interested in majoring in computer science or engineering. Covers fundamental concepts of computer science, algorithmic problem-solving capabilities, and introductory Java programming skills. Assumes no prior programming background. Columbia University students may receive credit for only one of the following two courses: 1004 and 1005.  "
W1004,2,INTRO-COMPUT SCI/PROG IN JAVA,Adam H Cannon,,FALSE," A general introduction to computer science for science and engineering students interested in majoring in computer science or engineering. Covers fundamental concepts of computer science, algorithmic problem-solving capabilities, and introductory Java programming skills. Assumes no prior programming background. Columbia University students may receive credit for only one of the following two courses: 1004 and 1005.  "
W1404,1,EMERGING SCHOLARS PROG SEMINAR,Adam H Cannon,,FALSE,"Prerequisites: the instructor's permission. Corequisites: COMS W1004,COMS W1007  Peer-led weekly seminar intended for first and second year undergraduates considering a major in Computer Science. Pass/fail only. May not be used towards satisfying the major or SEAS credit requirements.  "
W3101,1,PROGRAMMING LANG (JAVASCRIPT),Ramana Isukapalli,,TRUE,"Prerequisites: Fluency in at least one programming language.  Introduction to a programming language. Each section is devoted to a specific language. Intended only for those who are already fluent in at least one programming language. Sections may meet for one hour per week for the whole term, for three hours per week for the first third of the term, or for two hours per week for the first six weeks. May be repeated for credit if different languages are involved.  "
W3101,2,PROGRAMMING LANG (C# AND .NET),Dimitri Kopaliani,,FALSE,"Prerequisites: Fluency in at least one programming language.  Introduction to a programming language. Each section is devoted to a specific language. Intended only for those who are already fluent in at least one programming language. Sections may meet for one hour per week for the whole term, for three hours per week for the first third of the term, or for two hours per week for the first six weeks. May be repeated for credit if different languages are involved.  "
W3102,1,MODERN iOS APPLICATION DEVELOP,Andrew A Hitti,,TRUE,"Prerequisites: Fluency in at least one programming language.  Introduction to software development tools and environments. Each section devoted to a specific tool or environment. One-point sections meet for two hours each week for half a semester, and two point sections include an additional two-hour lab.  "
W3134,1,DATA STRUCTURES IN JAVA,Paul S Blaer,,TRUE,"Prerequisites: (COMS W1004) or COMS W1004 or knowledge of Java.  Data types and structures: arrays, stacks, singly and doubly linked lists, queues, trees, sets, and graphs. Programming techniques for processing such structures: sorting and searching, hashing, garbage collection. Storage management. Rudiments of the analysis of algorithms. Taught in Java. Note: Due to significant overlap, students may receive credit for only one of the following three courses: COMS W3134, COMS W3136, COMS W3137.  "
W3134,2,DATA STRUCTURES IN JAVA,Paul S Blaer,,TRUE,"Prerequisites: (COMS W1004) or COMS W1004 or knowledge of Java.  Data types and structures: arrays, stacks, singly and doubly linked lists, queues, trees, sets, and graphs. Programming techniques for processing such structures: sorting and searching, hashing, garbage collection. Storage management. Rudiments of the analysis of algorithms. Taught in Java. Note: Due to significant overlap, students may receive credit for only one of the following three courses: COMS W3134, COMS W3136, COMS W3137.  "
W3137,1,DATA STRUCTURES/ALGORITHMS,Daniel Bauer,,FALSE,"Prerequisites: (COMS W1004) or (COMS W1007) COMS W1004 or W1007. Corequisites: COMS W3203.  An honors introduction to data types and structures: arrays, stacks, singly and doubly linked lists, queues, trees, sets, and graphs. Programming techniques for processing such structures: sorting and searching, hashing, garbage collection. Storage management. Design and analysis of algorithms. Taught in Java. Note: Due to significant overlap, students may receive credit for only one of the following three courses: COMS W3134, W3136, or W3137.  "
W3157,1,ADVANCED PROGRAMMING,Jae W Lee,,FALSE,"Prerequisites: COMS W3134 or equivalent.  C programming language and Unix systems programming.Â  Also covers Git, Make, TCP/IP networking basics, C++ fundamentals.  "
W3203,1,DISCRETE MATHEMATICS,Ansaf Salleb-Aouissi,,TRUE,"Prerequisites: Any introductory course in computer programming.  Logic and formal proofs, sequences and summation, mathematical induction, binomial coefficients, elements of finite probability, recurrence relations, equivalence relations and partial orderings, and topics in graph theory (including isomorphism, traversability, planarity, and colorings).  "
