course number,section,name,instructor,instructor 2,is full,description
UN1001,001,INTRO TO STATISTICAL REASONING,Promit K Ghosal,,false," A friendly introduction to statistical concepts and reasoning with emphasis on developing statistical intuition rather than on mathematical rigor. Topics include design of experiments, descriptive statistics, correlation and regression, probability, chance variability, sampling, chance models, and tests of significance. "
UN1001,002,INTRO TO STATISTICAL REASONING,Ronald Neath,,false," A friendly introduction to statistical concepts and reasoning with emphasis on developing statistical intuition rather than on mathematical rigor. Topics include design of experiments, descriptive statistics, correlation and regression, probability, chance variability, sampling, chance models, and tests of significance. "
UN1001,003,INTRO TO STATISTICAL REASONING,Ronald Neath,,false," A friendly introduction to statistical concepts and reasoning with emphasis on developing statistical intuition rather than on mathematical rigor. Topics include design of experiments, descriptive statistics, correlation and regression, probability, chance variability, sampling, chance models, and tests of significance. "
UN1101,001,INTRODUCTION TO STATISTICS,Banu Baydil,,true,"Prerequisites: intermediate high school algebra.  Designed for students in fields that emphasize quantitative methods. Graphical and numerical summaries, probability, theory of sampling distributions, linear regression, analysis of variance, confidence intervals and hypothesis testing. Quantitative reasoning and data analysis. Practical experience with statistical software. Illustrations are taken from a variety of fields. Data-collection/analysis project with emphasis on study designs is part of the coursework requirement. "
UN1101,002,INTRODUCTION TO STATISTICS,Banu Baydil,,true,"Prerequisites: intermediate high school algebra.  Designed for students in fields that emphasize quantitative methods. Graphical and numerical summaries, probability, theory of sampling distributions, linear regression, analysis of variance, confidence intervals and hypothesis testing. Quantitative reasoning and data analysis. Practical experience with statistical software. Illustrations are taken from a variety of fields. Data-collection/analysis project with emphasis on study designs is part of the coursework requirement. "
UN1101,003,INTRODUCTION TO STATISTICS,Anthony Donoghue,,false,"Prerequisites: intermediate high school algebra.  Designed for students in fields that emphasize quantitative methods. Graphical and numerical summaries, probability, theory of sampling distributions, linear regression, analysis of variance, confidence intervals and hypothesis testing. Quantitative reasoning and data analysis. Practical experience with statistical software. Illustrations are taken from a variety of fields. Data-collection/analysis project with emphasis on study designs is part of the coursework requirement. "
UN1201,001,INTRODUCTION TO STATISTICS,David A Rios,,false,"Prerequisites: one semester of calculus.  Designed for students who desire a strong grounding in statistical concepts with a greater degree of mathematical rigor than in STAT W1111. Random variables, probability distributions, pdf, cdf, mean, variance, correlation, conditional distribution, conditional mean and conditional variance, law of iterated expectations, normal, chi-square, F and t distributions, law of large numbers, central limit theorem, parameter estimation, unbiasedness, consistency, efficiency, hypothesis testing, p-value, confidence intervals, maximum likelihood estimation. Serves as the pre-requisite for ECON W3412. "
UN1201,002,INTRODUCTION TO STATISTICS,Joyce T Robbins,,true,"Prerequisites: one semester of calculus.  Designed for students who desire a strong grounding in statistical concepts with a greater degree of mathematical rigor than in STAT W1111. Random variables, probability distributions, pdf, cdf, mean, variance, correlation, conditional distribution, conditional mean and conditional variance, law of iterated expectations, normal, chi-square, F and t distributions, law of large numbers, central limit theorem, parameter estimation, unbiasedness, consistency, efficiency, hypothesis testing, p-value, confidence intervals, maximum likelihood estimation. Serves as the pre-requisite for ECON W3412. "
UN1201,003,INTRODUCTION TO STATISTICS,Joyce T Robbins,,true,"Prerequisites: one semester of calculus.  Designed for students who desire a strong grounding in statistical concepts with a greater degree of mathematical rigor than in STAT W1111. Random variables, probability distributions, pdf, cdf, mean, variance, correlation, conditional distribution, conditional mean and conditional variance, law of iterated expectations, normal, chi-square, F and t distributions, law of large numbers, central limit theorem, parameter estimation, unbiasedness, consistency, efficiency, hypothesis testing, p-value, confidence intervals, maximum likelihood estimation. Serves as the pre-requisite for ECON W3412. "
UN1201,004,INTRODUCTION TO STATISTICS,Sheela Kolluri,,false,"Prerequisites: one semester of calculus.  Designed for students who desire a strong grounding in statistical concepts with a greater degree of mathematical rigor than in STAT W1111. Random variables, probability distributions, pdf, cdf, mean, variance, correlation, conditional distribution, conditional mean and conditional variance, law of iterated expectations, normal, chi-square, F and t distributions, law of large numbers, central limit theorem, parameter estimation, unbiasedness, consistency, efficiency, hypothesis testing, p-value, confidence intervals, maximum likelihood estimation. Serves as the pre-requisite for ECON W3412. "
UN2102,001,Applied Statistical Computing,Gabriel Young,,true,"Corequisites: An introductory course in statistic (STAT UN1101 is recommended).  This course is an introduction to R programming.  After learning basic programming component, such as defining variables and vectors, and learning different data structures in R, students will, via project-based assignments, study more advanced topics, such as recursion, conditionals, modular programming, and data visualization.  Students will also learn the fundamental concepts in computational complexity, and will practice writing reports based on their statistical analyses.  "
UN2104,001,APPL CATEGORICAL DATA ANALYSIS,James Landwehr,,false,"Prerequisites: STAT UN2103 is strongly recommended.  Students without programming experience in R might find STAT UN2102 very helpful.  This course covers statistical models amd methods for analyzing and drawing inferences for problems involving categofical data.  The goals are familiarity and understanding of a substantial and integrated body of statistical methods that are used for such problems, experience in anlyzing data using these methods, and profficiency in communicating the results of such methods, and the ability to critically evaluate the use of such methods.  Topics include binomial proportions, two-way and three-way contingency tables, logistic regression, log-linear models for large multi-way contingency tables, graphical methods.  The statistical package R will be used.  "
UN3106,001,APPLIED DATA MINING,Peter Orbanz,,false,"Prerequisites: STAT UN2103.  Students without programming experience in R might find STAT UN2102 very helpful.  Data Mining is a dynamic and fast growing field at the interface of Statistics and Computer Science. The emergence of massive datasets containing millions or even billions of observations provides the primary impetus for the field. Such datasets arise, for instance, in large-scale retailing, telecommunications, astronomy, computational and statistical challenges. This course will provide an overview of current practice in data mining. Specific topics covered with include databases and data warehousing, exploratory data analysis and visualization, descriptive modeling, predictive modeling, pattern and rule discovery, text mining, Bayesian data mining, and causal inference. The use of statistical software will be emphasized.  "
UN3107,001,Undergraduate Mentored Researc,Liam M Paninski,,false,"Prerequisites: the project mentor's permission.  This course provides a mechanism for students who undertake research with a faculty member from the Department of Statistics to receive academic credit.  Students seeking research opportunities should be proactive and entrepreneurial: identify congenial faculty whose research is appealing, let them know of your interest and your background and skills. "
GU4001,001,INTRO TO PROBABILITY & STATSTC,David A Rios,,true,"Prerequisites: Calculus through multiple integration and infinite sums.  A calculus-based tour of the fundamentals of probability theory and statistical inference. Probability models, random variables, useful distributions, conditioning, expectations, law of large numbers, central limit theorem, point and confidence interval estimation, hypothesis tests, linear regression.  This course replaces SIEO 4150. "
