course number,section,name,instructor,instructor 2,is full,description
E2261,1,INTRO TO ACCOUNTING & FINANCE,Anthony C Webster,,FALSE,"Prerequisites: (ECON UN1105)   For undergraduates only. This course is required for all undergraduate students majoring in IE, OR:EMS, OR:FE and OR. This course examines the fundamental concepts of financial accounting and finance, from the perspective of both managers and investors. Key topics covered in this course include principles of accrual accounting; recognizing and recording accounting transactions; preparation and analysis of financial statements, including balance sheets, income statements, cash flow statements, and statements of owners' equity; ratio analysis; pro-forma projections; time value of money (present values, future values and interest/discount rates); inflation; discounted-cash-flow (DCF) project evaluation methods; deterministic and probabilistic measures of risk; capital budgeting.Â   "
E3402,1,PRODUCTN-INVENTORY PLAN-CONTRL,Van Anh Truong,,FALSE,"Prerequisites: (SIEO W3600) and (IEOR E3608) SIEO W3600:Introduction to Probability and Statistics and IEOR E3608: Introduction to Mathematical Programming.  For undergraduates only. This course is required for all undergraduate students majoring in IE, OR:EMS, OR:FE and OR. This class must be taken during (or before) the sixth semester. This course equips students with knowledge of fundamental issues in production and inventory planning and control in manufacturing firms while developing students' modeling and analytical skills. The course is targeted toward engineering students planning careers in technical consulting, business analysis in operations, logistics, supply-chain and revenue-management functions, positions in general management and future entrepreneurs. The course will cover inventory management and production planning; material requirements planning; aggregate planning of production, inventory, and work force; multi-echelon integrated production-inventory systems; and production scheduling. Students will have an opportunity to participate in a computer-simulation game where, as operations managers for a company, they work in teams to manage capacity, inventories, scheduling, and purchasing of parts. The recitation section is required.  "
E3402,R01,PRODUCTN-INVENTORY PLAN-CONTRL,,,TRUE,"Prerequisites: (SIEO W3600) and (IEOR E3608) SIEO W3600:Introduction to Probability and Statistics and IEOR E3608: Introduction to Mathematical Programming.  For undergraduates only. This course is required for all undergraduate students majoring in IE, OR:EMS, OR:FE and OR. This class must be taken during (or before) the sixth semester. This course equips students with knowledge of fundamental issues in production and inventory planning and control in manufacturing firms while developing students' modeling and analytical skills. The course is targeted toward engineering students planning careers in technical consulting, business analysis in operations, logistics, supply-chain and revenue-management functions, positions in general management and future entrepreneurs. The course will cover inventory management and production planning; material requirements planning; aggregate planning of production, inventory, and work force; multi-echelon integrated production-inventory systems; and production scheduling. Students will have an opportunity to participate in a computer-simulation game where, as operations managers for a company, they work in teams to manage capacity, inventories, scheduling, and purchasing of parts. The recitation section is required.  "
E3404,1,SIMULATION,Henry Lam,,FALSE,
E3404,R01,SIMULATION REC,,,TRUE,
E3609,1,ADVANCED OPTIMIZATION,Shipra Agrawal,,FALSE," For undergraduates only. This course is required for all undergraduate students majoring in IE, OR:EMS, OR:FE and OR.Â "
E3900,1,UNDERGRAD RESEARCH OR PROJECT,Shipra Agrawal,,FALSE,"Prerequisites: approval by a faculty member who agrees to supervise the work.  Independent work involving experiments, computer programming, analytical investigation, or engineering design.  "
E3900,2,UNDERGRAD RESEARCH OR PROJECT,Daniel Bienstock,,FALSE,"Prerequisites: approval by a faculty member who agrees to supervise the work.  Independent work involving experiments, computer programming, analytical investigation, or engineering design.  "
E3900,3,UNDERGRAD RESEARCH OR PROJECT,Agostino Capponi,,FALSE,"Prerequisites: approval by a faculty member who agrees to supervise the work.  Independent work involving experiments, computer programming, analytical investigation, or engineering design.  "
E3900,4,UNDERGRAD RESEARCH OR PROJECT,Emanuel Derman,,FALSE,"Prerequisites: approval by a faculty member who agrees to supervise the work.  Independent work involving experiments, computer programming, analytical investigation, or engineering design.  "
E3900,5,UNDERGRAD RESEARCH OR PROJECT,Antonius B Dieker,,FALSE,"Prerequisites: approval by a faculty member who agrees to supervise the work.  Independent work involving experiments, computer programming, analytical investigation, or engineering design.  "
E3900,6,UNDERGRAD RESEARCH OR PROJECT,Adam N Elmachtoub,,FALSE,"Prerequisites: approval by a faculty member who agrees to supervise the work.  Independent work involving experiments, computer programming, analytical investigation, or engineering design.  "
E3900,7,UNDERGRAD RESEARCH OR PROJECT,Yuri Faenza,,FALSE,"Prerequisites: approval by a faculty member who agrees to supervise the work.  Independent work involving experiments, computer programming, analytical investigation, or engineering design.  "
E3900,8,UNDERGRAD RESEARCH OR PROJECT,Donald Goldfarb,,FALSE,"Prerequisites: approval by a faculty member who agrees to supervise the work.  Independent work involving experiments, computer programming, analytical investigation, or engineering design.  "
E3900,9,UNDERGRAD RESEARCH OR PROJECT,Vineet Goyal,,FALSE,"Prerequisites: approval by a faculty member who agrees to supervise the work.  Independent work involving experiments, computer programming, analytical investigation, or engineering design.  "
E3900,10,UNDERGRAD RESEARCH OR PROJECT,Ali Hirsa,,FALSE,"Prerequisites: approval by a faculty member who agrees to supervise the work.  Independent work involving experiments, computer programming, analytical investigation, or engineering design.  "
E3900,11,UNDERGRAD RESEARCH OR PROJECT,Garud Iyengar,,FALSE,"Prerequisites: approval by a faculty member who agrees to supervise the work.  Independent work involving experiments, computer programming, analytical investigation, or engineering design.  "
E3900,12,UNDERGRAD RESEARCH OR PROJECT,Hardeep Johar,,FALSE,"Prerequisites: approval by a faculty member who agrees to supervise the work.  Independent work involving experiments, computer programming, analytical investigation, or engineering design.  "
E3900,13,UNDERGRAD RESEARCH OR PROJECT,Soulaymane Kachani,,FALSE,"Prerequisites: approval by a faculty member who agrees to supervise the work.  Independent work involving experiments, computer programming, analytical investigation, or engineering design.  "
E3900,14,UNDERGRAD RESEARCH OR PROJECT,Daniel Lacker,,FALSE,"Prerequisites: approval by a faculty member who agrees to supervise the work.  Independent work involving experiments, computer programming, analytical investigation, or engineering design.  "
E3900,15,UNDERGRAD RESEARCH OR PROJECT,Henry Lam,,FALSE,"Prerequisites: approval by a faculty member who agrees to supervise the work.  Independent work involving experiments, computer programming, analytical investigation, or engineering design.  "
E3900,16,UNDERGRAD RESEARCH OR PROJECT,Dylan Possamai,,FALSE,"Prerequisites: approval by a faculty member who agrees to supervise the work.  Independent work involving experiments, computer programming, analytical investigation, or engineering design.  "
E3900,17,UNDERGRAD RESEARCH OR PROJECT,Jay Sethuraman,,FALSE,"Prerequisites: approval by a faculty member who agrees to supervise the work.  Independent work involving experiments, computer programming, analytical investigation, or engineering design.  "
E3900,18,UNDERGRAD RESEARCH OR PROJECT,Karl Sigman,,FALSE,"Prerequisites: approval by a faculty member who agrees to supervise the work.  Independent work involving experiments, computer programming, analytical investigation, or engineering design.  "
E3900,19,UNDERGRAD RESEARCH OR PROJECT,Clifford Stein,,FALSE,"Prerequisites: approval by a faculty member who agrees to supervise the work.  Independent work involving experiments, computer programming, analytical investigation, or engineering design.  "
E3900,20,UNDERGRAD RESEARCH OR PROJECT,Van Anh Truong,,FALSE,"Prerequisites: approval by a faculty member who agrees to supervise the work.  Independent work involving experiments, computer programming, analytical investigation, or engineering design.  "
E3900,21,UNDERGRAD RESEARCH OR PROJECT,"Ward Whitt - e-mail, homepage",,FALSE,"Prerequisites: approval by a faculty member who agrees to supervise the work.  Independent work involving experiments, computer programming, analytical investigation, or engineering design.  "
E3900,22,UNDERGRAD RESEARCH OR PROJECT,David D Yao,,FALSE,"Prerequisites: approval by a faculty member who agrees to supervise the work.  Independent work involving experiments, computer programming, analytical investigation, or engineering design.  "
E3900,23,UNDERGRAD RESEARCH OR PROJECT,Xunyu Zhou,,FALSE,"Prerequisites: approval by a faculty member who agrees to supervise the work.  Independent work involving experiments, computer programming, analytical investigation, or engineering design.  "
E3900,24,UNDERGRAD RESEARCH OR PROJECT,Jenny S Mak,,FALSE,"Prerequisites: approval by a faculty member who agrees to supervise the work.  Independent work involving experiments, computer programming, analytical investigation, or engineering design.  "
E3999,1,FIELDWORK,Karl Sigman,,FALSE,
E4004,1,INTRO TO OR-DETERMINSTC MODELS,Daniel Bienstock,,FALSE," This graduate course is only for MS&E, IE and OR students.Â  This is also required for students in the Undergraduate Advanced Track.Â For students who have not studied linear programming. Some of the main methods used in IEOR applications involving deterministic models: linear programming, the simplex method, nonlinear, integer and dynamic programming.Â   "
E4004,R01,INTRO-OPER RSRCH-DETERMNTC MDL,,,TRUE," This graduate course is only for MS&E, IE and OR students.Â  This is also required for students in the Undergraduate Advanced Track.Â For students who have not studied linear programming. Some of the main methods used in IEOR applications involving deterministic models: linear programming, the simplex method, nonlinear, integer and dynamic programming.Â   "
E4102,1,STOCHASTIC MODELING FOR MSE,Karl Sigman,,FALSE,"Prerequisites: IEOR E4101  Introduction to stochastic processes and model, with emphasis on applications to engineering and management; random walks, gambler's ruin problem, Markov chains in both discrete and continuous time, Poisson processes, renewal processes, stopping times, Wald's equation, binomial lattice model for pricing risky assets, simple option pricing; simulation of simple stochastic processes, Brownian motion, and geometric Brownian motion. This course is a specialized version of IEOR E4106 for MSE students.Â   "
E4106,1,INTRO TO OR-STOCHASTIC MODELS,Karl Sigman,,FALSE,"Prerequisites: (STAT GU4001)   This graduate course is only for MS&E, IE and OR students. This is also required for students in the Undergraduate Advanced Track.Â Some of the main stochastic models used in engineering and operations research applications: discrete-time Markov chains, Poisson processes, birth-and-death processes, and otherÂ continuous Markov chains, renewal reward processes. Applications: queueing, reliability, inventory, and finance.  "
E4106,R01,INTRO TO OR-STOCHASTIC MODELS,,,TRUE,"Prerequisites: (STAT GU4001)   This graduate course is only for MS&E, IE and OR students. This is also required for students in the Undergraduate Advanced Track.Â Some of the main stochastic models used in engineering and operations research applications: discrete-time Markov chains, Poisson processes, birth-and-death processes, and otherÂ continuous Markov chains, renewal reward processes. Applications: queueing, reliability, inventory, and finance.  "
E4111,1,OPERATIONS CONSULTING,Soulaymane Kachani,,FALSE,"Prerequisites: Probability and Statistics at the level of SIEO W3600 or SIEO W4150, and Deterministic Models at the level of IEOR E3608 or IEOR E4004, or instructor permission.  This course is for MS-MS&E students only. This course aims to develop and harness the modeling, analytical and managerial skills of engineering students and apply them to improve the operations of both service and manufacturing firms. The course is structured as a hands-on laboratory in which students ""learn by doing"" on real-world consulting projects (October to May). The student teams focus on identifying, modeling and testing (and sometimes implementing) operational improvements and innovations with high potential to enhance the profitability and/or achieve sustainable competitive advantage for their sponsor companies. The course is targeted toward students planning careers in technical consulting (including operations consulting) and management consulting, or pursuing positions as business analysts in operations, logistics, supply chain and revenue management functions, positions in general management and future entrepreneurs.  "
