course number,section,name,instructor,instructor 2,is full,description
UN1001,1,INTRO TO STATISTICAL REASONING,Promit K Ghosal,,FALSE," A friendly introduction to statistical concepts and reasoning with emphasis on developing statistical intuition rather than on mathematical rigor. Topics include design of experiments, descriptive statistics, correlation and regression, probability, chance variability, sampling, chance models, and tests of significance. "
UN1001,2,INTRO TO STATISTICAL REASONING,Ronald Neath,,FALSE," A friendly introduction to statistical concepts and reasoning with emphasis on developing statistical intuition rather than on mathematical rigor. Topics include design of experiments, descriptive statistics, correlation and regression, probability, chance variability, sampling, chance models, and tests of significance. "
UN1001,3,INTRO TO STATISTICAL REASONING,Ronald Neath,,FALSE," A friendly introduction to statistical concepts and reasoning with emphasis on developing statistical intuition rather than on mathematical rigor. Topics include design of experiments, descriptive statistics, correlation and regression, probability, chance variability, sampling, chance models, and tests of significance. "
UN1101,1,INTRODUCTION TO STATISTICS,Banu Baydil,,TRUE,"Prerequisites: intermediate high school algebra.  Designed for students in fields that emphasize quantitative methods. Graphical and numerical summaries, probability, theory of sampling distributions, linear regression, analysis of variance, confidence intervals and hypothesis testing. Quantitative reasoning and data analysis. Practical experience with statistical software. Illustrations are taken from a variety of fields. Data-collection/analysis project with emphasis on study designs is part of the coursework requirement. "
UN1101,2,INTRODUCTION TO STATISTICS,Banu Baydil,,TRUE,"Prerequisites: intermediate high school algebra.  Designed for students in fields that emphasize quantitative methods. Graphical and numerical summaries, probability, theory of sampling distributions, linear regression, analysis of variance, confidence intervals and hypothesis testing. Quantitative reasoning and data analysis. Practical experience with statistical software. Illustrations are taken from a variety of fields. Data-collection/analysis project with emphasis on study designs is part of the coursework requirement. "
UN1101,3,INTRODUCTION TO STATISTICS,Anthony Donoghue,,FALSE,"Prerequisites: intermediate high school algebra.  Designed for students in fields that emphasize quantitative methods. Graphical and numerical summaries, probability, theory of sampling distributions, linear regression, analysis of variance, confidence intervals and hypothesis testing. Quantitative reasoning and data analysis. Practical experience with statistical software. Illustrations are taken from a variety of fields. Data-collection/analysis project with emphasis on study designs is part of the coursework requirement. "
UN1201,1,INTRODUCTION TO STATISTICS,David A Rios,,FALSE,"Prerequisites: one semester of calculus.  Designed for students who desire a strong grounding in statistical concepts with a greater degree of mathematical rigor than in STAT W1111. Random variables, probability distributions, pdf, cdf, mean, variance, correlation, conditional distribution, conditional mean and conditional variance, law of iterated expectations, normal, chi-square, F and t distributions, law of large numbers, central limit theorem, parameter estimation, unbiasedness, consistency, efficiency, hypothesis testing, p-value, confidence intervals, maximum likelihood estimation. Serves as the pre-requisite for ECON W3412. "
UN1201,2,INTRODUCTION TO STATISTICS,Joyce T Robbins,,TRUE,"Prerequisites: one semester of calculus.  Designed for students who desire a strong grounding in statistical concepts with a greater degree of mathematical rigor than in STAT W1111. Random variables, probability distributions, pdf, cdf, mean, variance, correlation, conditional distribution, conditional mean and conditional variance, law of iterated expectations, normal, chi-square, F and t distributions, law of large numbers, central limit theorem, parameter estimation, unbiasedness, consistency, efficiency, hypothesis testing, p-value, confidence intervals, maximum likelihood estimation. Serves as the pre-requisite for ECON W3412. "
UN1201,3,INTRODUCTION TO STATISTICS,Joyce T Robbins,,TRUE,"Prerequisites: one semester of calculus.  Designed for students who desire a strong grounding in statistical concepts with a greater degree of mathematical rigor than in STAT W1111. Random variables, probability distributions, pdf, cdf, mean, variance, correlation, conditional distribution, conditional mean and conditional variance, law of iterated expectations, normal, chi-square, F and t distributions, law of large numbers, central limit theorem, parameter estimation, unbiasedness, consistency, efficiency, hypothesis testing, p-value, confidence intervals, maximum likelihood estimation. Serves as the pre-requisite for ECON W3412. "
UN1201,4,INTRODUCTION TO STATISTICS,Sheela Kolluri,,FALSE,"Prerequisites: one semester of calculus.  Designed for students who desire a strong grounding in statistical concepts with a greater degree of mathematical rigor than in STAT W1111. Random variables, probability distributions, pdf, cdf, mean, variance, correlation, conditional distribution, conditional mean and conditional variance, law of iterated expectations, normal, chi-square, F and t distributions, law of large numbers, central limit theorem, parameter estimation, unbiasedness, consistency, efficiency, hypothesis testing, p-value, confidence intervals, maximum likelihood estimation. Serves as the pre-requisite for ECON W3412. "
UN2102,1,Applied Statistical Computing,Gabriel Young,,TRUE,"Corequisites: An introductory course in statistic (STAT UN1101 is recommended).  This course is an introduction to R programming. Â After learning basic programming component, such as defining variables and vectors, and learning different data structures in R, students will, via project-based assignments, study more advanced topics, such as recursion, conditionals, modular programming, and data visualization. Â Students will also learn the fundamental concepts in computational complexity, and will practice writing reports based on their statistical analyses.  "
UN2104,1,APPL CATEGORICAL DATA ANALYSIS,James Landwehr,,FALSE,"Prerequisites: STAT UN2103 is strongly recommended.  Students without programming experience in R might find STAT UN2102 very helpful.  This course covers statistical models amd methods for analyzing and drawing inferences for problems involving categofical data. Â The goals are familiarity and understanding of a substantial and integrated body of statistical methods that are used for such problems, experience in anlyzing data using these methods, and profficiency in communicating the results of such methods, and the ability to critically evaluate the use of such methods. Â Topics include binomial proportions, two-way and three-way contingency tables, logistic regression, log-linear models for large multi-way contingency tables, graphical methods. Â The statistical package R will be used.  "
UN3106,1,APPLIED DATA MINING,Peter Orbanz,,FALSE,"Prerequisites: STAT UN2103.  Students without programming experience in R might find STAT UN2102 very helpful.  Data Mining is a dynamic and fast growing field at the interface of Statistics and Computer Science. The emergence of massive datasets containing millions or even billions of observations provides the primary impetus for the field. Such datasets arise, for instance, in large-scale retailing, telecommunications, astronomy, computational and statistical challenges. This course will provide an overview of current practice in data mining. Specific topics covered with include databases and data warehousing, exploratory data analysis and visualization, descriptive modeling, predictive modeling, pattern and rule discovery, text mining, Bayesian data mining, and causal inference. The use of statistical software will be emphasized.  "
UN3107,1,Undergraduate Mentored Researc,Liam M Paninski,,FALSE,"Prerequisites: the project mentor's permission.  This course provides a mechanism for students who undertake research with a faculty member from the Department of Statistics to receive academic credit. Â Students seeking research opportunities should be proactive and entrepreneurial: identify congenial faculty whose research is appealing, let them know of your interest and your background and skills. "
GU4001,1,INTRO TO PROBABILITY & STATSTC,David A Rios,,TRUE,"Prerequisites: Calculus through multiple integration and infinite sums.  A calculus-based tour of the fundamentals of probability theory and statistical inference. Probability models, random variables, useful distributions, conditioning, expectations, law of large numbers, central limit theorem, point and confidence interval estimation, hypothesis tests, linear regression. Â This course replaces SIEO 4150. "
GU4203,1,Probability,Daniel Rabinowitz,,FALSE,"Prerequisites: At least one semester, and preferably two, of calculus.  An introductory course (STAT UN1201, preferably) is strongly recommended.  A calculus-based introduction to probability theory. A quick review of multivariate calculus is provided. Topics covered include random variables, conditional probability, expectation, independence, Bayesâ€™ rule, important distributions, joint distributions, moment generating functions, central limit theorem, laws of large numbers and Markovâ€™s inequality.  "
GU4203,2,Probability,Daniel Rabinowitz,,FALSE,"Prerequisites: At least one semester, and preferably two, of calculus.  An introductory course (STAT UN1201, preferably) is strongly recommended.  A calculus-based introduction to probability theory. A quick review of multivariate calculus is provided. Topics covered include random variables, conditional probability, expectation, independence, Bayesâ€™ rule, important distributions, joint distributions, moment generating functions, central limit theorem, laws of large numbers and Markovâ€™s inequality.  "
GU4204,1,Statistical Inference,Gabriel Young,,TRUE,"Prerequisites: STAT GU4203.  At least one semester of calculus is required; two or three semesters are strongly recommended.  Calculus-based introduction to the theory of statistics. Useful distributions, law of large numbers and central limit theorem, point estimation, hypothesis testing, confidence intervals maximum likelihood, likelihood ratio tests, nonparametric procedures, theory of least squares and analysis of variance. "
GU4204,2,Statistical Inference,Dan Wang,,FALSE,"Prerequisites: STAT GU4203.  At least one semester of calculus is required; two or three semesters are strongly recommended.  Calculus-based introduction to the theory of statistics. Useful distributions, law of large numbers and central limit theorem, point estimation, hypothesis testing, confidence intervals maximum likelihood, likelihood ratio tests, nonparametric procedures, theory of least squares and analysis of variance. "
GU4204,3,Statistical Inference,Dan Wang,,FALSE,"Prerequisites: STAT GU4203.  At least one semester of calculus is required; two or three semesters are strongly recommended.  Calculus-based introduction to the theory of statistics. Useful distributions, law of large numbers and central limit theorem, point estimation, hypothesis testing, confidence intervals maximum likelihood, likelihood ratio tests, nonparametric procedures, theory of least squares and analysis of variance. "
GU4205,1,Linear Regression Models,Jingchen Liu,,FALSE,"Prerequisites: STAT GU4204 or the equivalent, and a course in linear algebra.  Theory and practice of regression analysis. Simple and multiple regression, testing, estimation, prediction, and confidence procedures, modeling, regression diagnostics and plots, polynomial regression, colinearity and confounding, model selection, geometry of least squares. Extensive use of the computer to analyse data. "
GU4206,1,Statistical Computing and Intr,Gabriel Young,,TRUE,"Prerequisites: STAT GU4204 and GU4205 or the equivalent.  Introduction to programming in the R statistical package: functions, objects, data structures, flow control, input and output, debugging, logical design, and abstraction. Â Writing code for numerical and graphical statistical analyses. Â Writing maintainable code and testing, stochastic simulations, paralleizing data analyses, and working with large data sets. Â Examples from data science will be used for demonstration.  "
GU4207,1,Elementary Stochastic Processe,Mark Brown,,TRUE,"Prerequisites: STAT GU4203 and two, preferably three, semesters of calculus.  Review of elements of probability theory. Poisson processes. Renewal theory. Wald's equation. Introduction to discrete and continuous time Markov chains. Applications to queueing theory, inventory models, branching processes. "
GU4221,1,Time Series Analysis,Abolfazal Safikhani,,FALSE,"Prerequisites: STAT GU4205 or the equivalent.  Least squares smoothing and prediction, linear systems, Fourier analysis, and spectral estimation. Impulse response and transfer function. Fourier series, the fast Fourier transform, autocorrelation function, and spectral density. Univariate Box-Jenkins modeling and forecasting. Emphasis on applications. Examples from the physical sciences, social sciences, and business. Computing is an integral part of the course. "
GU4221,2,Time Series Analysis,Rongning Wu,,FALSE,"Prerequisites: STAT GU4205 or the equivalent.  Least squares smoothing and prediction, linear systems, Fourier analysis, and spectral estimation. Impulse response and transfer function. Fourier series, the fast Fourier transform, autocorrelation function, and spectral density. Univariate Box-Jenkins modeling and forecasting. Emphasis on applications. Examples from the physical sciences, social sciences, and business. Computing is an integral part of the course. "
GU4222,1,NONPARAMETRIC STATISTICS,Arian Maleki,,FALSE,"Prerequisites: STAT GU4204 or the equivalent.  Statistical inference without parametric model assumption. Hypothesis testing using ranks, permutations, and order statistics. Nonparametric analogs of analysis of variance. Non-parametric regression, smoothing and model selection. "
GU4223,1,MULTIVARIATE STAT INFERENCE,Ronald Neath,,FALSE,"Prerequisites: STAT GU4205 or the equivalent.  Multivariate normal distribution, multivariate regression and classification; canonical correlation; graphical models and Bayesian networks; principal components and other models for factor analysis; SVD; discriminant analysis; cluster analysis. "
GU4224,1,Baysian Statistics,Banu Baydil,,TRUE,"Prerequisites: STAT GU4204 or the equivalent.  Bayesian vs frequentist, prior and posterior distributions, conjugate priors, informative and non-informative prior subjective and objective bayes, oneand two sample problems, models for normal data, models for binary data, multivariate normal shrinkage, bayesian linear models, bayesian computation (start early), MCMC algorithms, the Gibbs sampler, hierarchical models, empirical bayes, hypothesis testing, bayes factors, model selection, software: R and WinBUGS "
GU4231,1,SURVIVAL ANALYSIS,Michael Shnaidman,,FALSE,"Prerequisites: STAT GU4205 or the equivalent.  Survival distributions, types of censored data, estimation for various survival models, nonparametric estimation of survival distributions, the proportional hazard and accelerated lifetime models for regression analysis with failure-time data. Extensive use of the computer. "
GU4232,1,GENERALIZED LINEAR MODELS,Michael Sobel,,FALSE,"Prerequisites: STAT GU4205 or the equivalent.  Statistical methods for rates and proportions, ordered and nominal categorical responses, contingency tables, odds-ratios, exact inference, logistic regression, Poisson regression, generalized linear models. "
GU4241,1,Statistical Machine Learning,Linxi Liu,,FALSE,"Prerequisites: STAT GU4206.  The course will provide an introduction to Machine Learning and its core models and algorithms. The aim of the course is to provide students of statistics with detailed knowledge of how Machine Learning methods work and how statistical models can be brought to bear in computer systems - not only to analyze large data sets, but to let computers perform tasks that traditional methods of computer science are unable to address. Examples range from speech recognition and text analysis through bioinformatics and medical diagnosis. This course provides a first introduction to the statistical methods and mathematical concepts which make such technologies possible. "
GU4243,1,Applied Data Science,Cynthia Rush,,TRUE,"Prerequisites: STAT GU4206 or the equivalent.  This course will incorporate knowledge and skills covered in a statistical curriculum with topics and projects in data science. Programming will covered using existing tools in R. Computing best practices will be taught using test-driven development, version control, and collaboration. Students finish the class with a portfolio on GitHub, and deeper understanding of several core statistical/machine-learning algorithms. Bi-weekly project cycles throughout the semester provide students extensive hands-on experience with various data-driven applications. "
GU4261,1,Statistical Methods in Finance,Zhiliang Ying,,TRUE,"Prerequisites: STAT GU4205 or the equivalent.  A fast-paced introduction to statistical methods used in quantitative finance. Financial applications and statistical methodologies are intertwined in all lectures. Topics include regression analysis and applications to the Capital Asset Pricing Model and multifactor pricing models, principal components and multivariate analysis, smoothing techniques and estimation of yield curves statistical methods for financial time series, value at risk, term structure models and fixed income research, and estimation and modeling of volatilities. Hands-on experience with financial data. "
