"Agarwal, Apoorv","COMS E6901 sec ",-3.16
"Agarwal, Apoorv","COMS W1001",3.56
"Aho, Alfred","COMS W3261",-1.31
"Allen, Peter","COMS W3137",-0.04
"Allen, Peter","COMS W4733",0.0
"Belhumeur, Peter","COMS 6998",1.56
"Bellovin, Steven","COMS W4187",0.93
"Biliris, Alexandros","COMS W4111",-0.32
"Blaer, Paul","COMS W3134",1.63
"Blaer, Paul","COMS W3139",1.47
"Blaer, Paul","COMS W1004",2.61
"Blaer, Paul","COMS W3137",1.92
"Blaer, Paul","COMS W1005",2.85
"Blaer, Paul","COMS W1007",-0.7
"Cannon, Adam","COMS W1004",0.94
"Cannon, Adam","COMS 1002 W",1.38
"Cannon, Adam","ENGI E1006",-0.93
"Cannon, Adam","COMS W1001",0.0
"Chaintreau, Augustin","COMS W4995",-2.76
"Chaintreau, Augustin","CSEE W4119",-1.28
"Chaintreau, Augustin","COMS 6998",0.0
"Chen, Xi","COMS W4236",2.23
"Chen, Xi","COMS W4231",1.99
"Choi, Seung","COMS W3261",-0.2
"Collins, Michael","COMS W4705",0.55
"Creamer, German","COMS W4701",-2.12
"Edwards, Stephen","COMS W4115",2.25
"Edwards, Stephen","CSEE W3827",0.62
"Feiner, Steven","COMS W4170",0.24
"Gravano, Luis","COMS E6111",2.44
"Gravano, Luis","COMS W4111",1.16
"Grinspun, Eitan","COMS W4167",1.88
"Gross, Jonathan","COMS W3203",-0.29
"Gross, Jonathan","COMS W4203",-0.55
"Habash, Nizar","COMS E6998",2.12
"Hershkop, Shlomo","COMS W3134",0.0
"Hershkop, Shlomo","COMS W3137",-2.8
"Hershkop, Shlomo","COMS W3157",-0.9
"Hirschberg, Julia","CSEE W3826",-0.36
"Hirschberg, Julia","COMS E6995",0.85
"Holliday, Robert","COMS W3261",1.08
"Holliday, Robert","COMS W3203",0.0
"Hsu, Daniel","COMS W4771",1.05
"Jebara, Tony","COMS W4771",1.12
"Kaiser, Gail","COMS W4156",0.0
"Kaiser, Gail","COMS E6125",-2.2
"Kender, John","COMS W1009",0.0
"Kender, John","COMS W1007",0.93
"Keromytis, Angelos","COMS W4180",4.41
"Kim, Martha","CSEE W3827",1.33
"Kim, Martha","COMS 4130",-2.46
"Lee, Jae","COMS W3157",0.2
"Lee, Jae","COMS W4118",0.5
"Lee, Jae","COMS 3136",2.88
"Lewko, Allison","COMS W4231",0.0
"Lewko, Allison","COMS W3261",2.1
"Malkin, Tal","COMS W3261",1.59
"Malkin, Tal","COMS E6261",0.56
"Misra, Vishal","CSEE W4119",0.47
"Nayar, Shree","COMS W4731",1.29
"Nieh, Jason","COMS W4118",2.1
"Nowick, Steven","CSEE 4823",2.72
"Ouyang, Jessica","COMS W3203",0.22
"Papageorgiou, Anargyros","COMS W4281",1.23
"Papageorgiou, Anargyros","COMS W3251",1.72
"Pasik, Alexander","COMS W3134",-1.41
"Pasik, Alexander","COMS W3137",-0.98
"Pasik, Alexander","COMS W4701",-1.02
"Pe'er, Itshack","COMS W4771",-0.74
